"Title",,,,,,,
"CDID","ENPOP","GBPOP","EWPOP","WAPOP","UKPOP","NIPOP","SCPOP"
"Source dataset ID","pop","pop","pop","pop","pop","pop","pop"
"PreUnit","","","","","","",""
"Unit","","","","","","",""
"Release date","21-12-2022","21-12-2022","21-12-2022","21-12-2022","21-12-2022","21-12-2022","21-12-2022"
"Next release","Summer 2023","Summer 2023","Summer 2023","Summer 2023","Summer 2023","Summer 2023","Summer 2023"
"Important notes",,,,,"Mid-year population estimates relate to the usually resident population. They account for long-term international migrants (people who change their country of usual residence for a period of 12 months or more) but do not account for short-term migrants (people who come to or leave the country for a period of less than 12 months). This approach is consistent with the standard UN definition for population estimates which is based upon the concept of usual residence and includes people who reside, or intend to reside, in the country for at least twelve months, whatever their nationality.",,
"1971","46411700","54387600","49152000","2740300","55928000","1540400","5235600"
"1972","46571900","54557700","49327100","2755200","56096700","1539000","5230600"
"1973","46686200","54692900","49459000","2772800","56222900","1530000","5233900"
"1974","46682700","54708700","49467900","2785200","56235600","1526900","5240800"
"1975","46674400","54702200","49469800","2795400","56225700","1523500","5232400"
"1976","46659900","54692600","49459200","2799300","56216100","1523500","5233400"
"1977","46639800","54666600","49440400","2800600","56189900","1523300","5226200"
"1978","46638200","54654800","49442500","2804300","56178000","1523200","5212300"
"1979","46698100","54711800","49508200","2810100","56240100","1528300","5203600"
"1980","46787200","54796900","49603000","2815800","56329700","1532800","5193900"
"1981","46820800","54814500","49634300","2813500","56357500","1543000","5180200"
"1982","46777300","54746200","49581600","2804300","56290700","1544500","5164500"
"1983","46813700","54765100","49617000","2803300","56315700","1550600","5148100"
"1984","46912400","54852000","49713100","2800700","56409300","1557300","5138900"
"1985","47057400","54988600","49860700","2803400","56554000","1565400","5127900"
"1986","47187600","55110300","49998600","2810900","56683800","1573500","5111800"
"1987","47300400","55222000","50123000","2822600","56804000","1582000","5099000"
"1988","47412300","55331000","50253600","2841200","56916400","1585400","5077400"
"1989","47552700","55486000","50407800","2855200","57076500","1590400","5078200"
"1990","47699100","55641900","50560600","2861500","57237500","1595600","5081300"
"1991","47875000","55831400","50748000","2873000","57438700","1607300","5083300"
"1992","47998000","55961300","50875600","2877700","57584500","1623300","5085600"
"1993","48102300","56078300","50985900","2883600","57713900","1635600","5092500"
"1994","48228800","56218400","51116200","2887400","57862100","1643700","5102200"
"1995","48383500","56375700","51272000","2888500","58024800","1649100","5103700"
"1996","48519100","56502600","51410400","2891300","58164400","1661800","5092200"
"1997","48664800","56643000","51559600","2894900","58314200","1671300","5083300"
"1998","48820600","56797200","51720100","2899500","58474900","1677800","5077100"
"1999","49032900","57005400","51933500","2900600","58684400","1679000","5072000"
"2000","49233300","57203100","52140200","2906900","58886100","1682900","5062900"
"2001","49449700","57424200","52360000","2910200","59113000","1688800","5064200"
"2002","49679300","57668100","52602100","2922900","59365700","1697500","5066000"
"2003","49925500","57931700","52863200","2937700","59636700","1704900","5068500"
"2004","50194600","58236300","53152000","2957400","59950400","1714000","5084300"
"2005","50606000","58685500","53575300","2969300","60413300","1727700","5110200"
"2006","50965200","59084000","53950900","2985700","60827100","1743100","5133100"
"2007","51381100","59557400","54387400","3006300","61319100","1761700","5170000"
"2008","51815900","60044600","54841700","3025900","61823800","1779200","5202900"
"2009","52196400","60467200","55235300","3038900","62260500","1793300","5231900"
"2010","52642500","60954600","55692400","3050000","62759500","1804800","5262200"
"2011","53107200","61470800","56170900","3063800","63285100","1814300","5299900"
"2012","53493700","61881400","56567800","3074100","63705000","1823600","5313600"
"2013","53865800","62275900","56948200","3082400","64105700","1829700","5327700"
"2014","54316600","62756300","57408700","3092000","64596800","1840500","5347600"
"2015","54786300","63258400","57885400","3099100","65110000","1851600","5373000"
"2016","55268100","63785900","58381200","3113200","65648100","1862100","5404700"
"2017","55619400","64169400","58744600","3125200","66040200","1870800","5424800"
"2018","55977200","64553900","59115800","3138600","66435600","1881600","5438100"
"2019","56287000","64903100","59439800","3152900","66796800","1893700","5463300"
"2020","56550000","65186000","59720000","3170000","67081000","1896000","5466000"
"2021","56536400","65121700","59641800","3105400","67026300","1904600","5479900"
