Country Name,Country Code,2018,2019,2020,2021
Aruba,ABW,105962,106442,106585,106537
Africa Eastern and Southern,AFE,649756874,667242712,685112705,702976832
Afghanistan,AFG,36686784,37769499,38972230,40099462
Africa Western and Central,AFW,442646825,454306063,466189102,478185907
Angola,AGO,31273533,32353588,33428486,34503774
Albania,ALB,2866376,2854191,2837849,2811666
Andorra,AND,75013,76343,77700,79034
Arab World,ARB,432545676,441467739,449228296,456520777
United Arab Emirates,ARE,9140169,9211657,9287289,9365145
Argentina,ARG,44494502,44938712,45376763,45808747
Armenia,ARM,2836557,2820602,2805608,2790974
American Samoa,ASM,48424,47321,46189,45035
Antigua and Barbuda,ATG,91626,92117,92664,93219
Australia,AUS,24966643,25340217,25655289,25688079
Austria,AUT,8840521,8879920,8916864,8955797
Azerbaijan,AZE,9939771,10024283,10093121,10137750
Burundi,BDI,11493472,11874838,12220227,12551213
Belgium,BEL,11427054,11488980,11538604,11592952
Benin,BEN,11940683,12290444,12643123,12996895
Burkina Faso,BFA,20392723,20951639,21522626,22100683
Bangladesh,BGD,163683958,165516222,167420951,169356251
Bulgaria,BGR,7025037,6975761,6934015,6877743
Bahrain,BHR,1487340,1494188,1477469,1463265
"Bahamas, The",BHS,401906,404557,406471,407906
Bosnia and Herzegovina,BIH,3400129,3360711,3318407,3270943
Belarus,BLR,9438785,9419758,9379952,9340314
Belize,BLZ,382066,389095,394921,400031
Bermuda,BMU,63918,63911,63893,63867
Bolivia,BOL,11606905,11777315,11936162,12079472
Brazil,BRA,210166592,211782878,213196304,214326223
Barbados,BRB,279688,280180,280693,281200
Brunei Darussalam,BRN,434274,438048,441725,445373
Bhutan,BTN,762096,767459,772506,777486
Botswana,BWA,2451409,2499702,2546402,2588423
Central African Republic,CAF,5094780,5209324,5343020,5457154
Canada,CAN,37065084,37601230,38037204,38246108
Central Europe and the Baltics,CEB,102538451,102398537,102180124,101430997
Switzerland,CHE,8514329,8575280,8638167,8703405
Channel Islands,CHI,167259,169410,171113,172683
Chile,CHL,18701450,19039485,19300315,19493184
China,CHN,1402760000,1407745000,1411100000,1412360000
Cote d'Ivoire,CIV,25493988,26147551,26811790,27478249
Cameroon,CMR,25076747,25782341,26491087,27198628
"Congo, Dem. Rep.",COD,87087355,89906890,92853164,95894118
"Congo, Rep.",COG,5441062,5570733,5702174,5835806
Colombia,COL,49276961,50187406,50930662,51516562
Comoros,COM,776313,790986,806166,821625
Cabo Verde,CPV,571202,577030,582640,587925
Costa Rica,CRI,5040734,5084532,5123105,5153957
Caribbean small states,CSS,7374650,7424102,7444768,7481877
Cuba,CUB,11328244,11316697,11300698,11256372
Curacao,CUW,159336,157441,154947,152369
Cayman Islands,CYM,64884,66134,67311,68136
Cyprus,CYP,1218831,1228836,1237537,1244188
Czechia,CZE,10629928,10671870,10697858,10505772
Germany,DEU,82905782,83092962,83160871,83196078
Djibouti,DJI,1057198,1073994,1090156,1105557
Dominica,DMA,70823,71428,71995,72412
Denmark,DNK,5793636,5814422,5831404,5856733
Dominican Republic,DOM,10765531,10881882,10999664,11117873
Algeria,DZA,41927007,42705368,43451666,44177969
East Asia & Pacific (excluding high income),EAP,2094573278,2106439246,2116424876,2123673456
